sentences,aos
this place is incredibly tiny.,"[([1], [], -1)]"
the hostess is rude to the point of being offensive.,"[([1], [], -1)]"
the food was bland oily.,"[([1], [], -1)]"
"we have been to this place many times, and always have great food , wine , and service .","[([12], [], 1), ([14], [], 1), ([17], [], 1)]"
"we were worried we would have trouble getting in, but somehow managed to have a short wait .","[([16], [], 1)]"
as always we had a great glass of wine while we waited.,"[([6, 7, 8], [], 1)]"
"when we sat, we got great and fast service .","[([8], [], 1)]"
the people that work there are always so friendly you forget you are in new york sometimes.,"[([1], [], 1)]"
make sure you try this place as often as you can.,"[([5], [], 1)]"
this is a fun restaurant to go to.,"[([4], [], 1)]"
the pizza is yummy and i like the atmoshpere .,"[([1], [], 1), ([8], [], 1)]"
but the pizza is way to expensive.,"[([2], [], -1)]"
"a large is $20, and toppings are about $3 each.","[([5], [], -1)]"
i went there for lunch and it was not as good as i expected from the reviews i read.,"[([4], [], -1)]"
sauce was watery and the food didn't have much flavor.,"[([0], [], -1), ([5], [], -1)]"
this place is great.,"[([1], [], 1)]"
the waitress was very patient with us and the food is phenomenal!,"[([1], [], 1), ([9], [], 1)]"
"service was prompt, friendly and great.","[([0], [], 1)]"
great pizza and fantastic service .,"[([1], [], 1), ([4], [], 1)]"
"there was a small wait , but shorter than i expected.","[([4], [], 1)]"
located at the end of a magnificent block .,"[([7], [], 1)]"
this is the best sushi in new york city - hands down.,"[([4], [], 1)]"
the place is small and cramped but the food is fantastic.,"[([1], [], -1), ([8], [], 1)]"
get the tuna of gari .,"[([2, 3, 4], [], 1)]"
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .","[([0, 1], [], 1), ([16], [], 1), ([23, 24], [], 1)]"
"with the great variety on the menu , i eat here often and never get bored .","[([6], [], 1)]"
"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .","[([1], [], 0)]"
it's all about the food !!,"[([4], [], 1)]"
first it took us a long time to find the place .,"[([10], [], -1)]"
"but when we looked at the menu , there weren't a lot of choices, most of them were dumplings in the appetizer section.","[([6], [], -1)]"
"those rolls were big, but not good and sashimi wasn't fresh.","[([1], [], 0), ([8], [], -1)]"
"try the crunchy tuna , it is to die for.","[([2, 3], [], 1)]"
first went here to enjoy their garden terrace .,"[([6, 7], [], 1)]"
"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","[([1], [], 1), ([6], [], 1)]"
"the steak tartare is a great bet, they fix it for you at the table.","[([1, 2], [], 1)]"
"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","[([5], [], -1), ([11, 12], [], 1)]"
"great wine selection , gigondas is worth the price, and the house champagne is a great value.","[([1, 2], [], 1), ([4], [], 1), ([11, 12], [], 1)]"
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","[([10], [], 1), ([18, 19], [], 1)]"
"have recommended the place to friends, always gets good response.","[([3], [], 1)]"
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!","[([4], [], 1), ([15], [], 1)]"
i take all my nyc guests to vt's .,"[([7], [], 1)]"
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food !","[([14], [], 1), ([18], [], 1)]"
i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,"[([13], [], 1), ([16], [], 1)]"
i'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much... and we're repeat customers.,"[([25], [], 1)]"
make sure you have the spicy scallop roll .. .,"[([5, 6, 7], [], 1)]"
"moules were excellent, lobster ravioli was very salty!","[([0], [], 1), ([3, 4], [], -1)]"
"took my mom for mother's day, and the maitre d' was pretty rude.","[([8, 9], [], -1)]"
tiny dessert was $8.00...just plain overpriced for what it is.,"[([1], [], -1)]"
the drinks are always welll made and wine selection is fairly priced.,"[([1], [], 1), ([7, 8], [], 1)]"
try their chef's specials -- they are to die for.,"[([2, 3], [], 1)]"
"service is not exactly five star, but thats not really a big deal.","[([0], [], 0)]"
downstairs lounge is always a good attraction,"[([0, 1], [], 1)]"
"raga's is a romantic, cozy restaurant.","[([0], [], 1)]"
the exotic food is beautifully presented and is a delight in delicious combinations.,"[([1, 2], [], 1)]"
the staff is incredibly helpful and attentive.,"[([1], [], 1)]"
the bar is very well stocked with interesting beers and well priced wines .,"[([1], [], 1), ([8], [], 1), ([12], [], 1)]"
"when we stumbled on leon , we thought that we had found quite the gem but, we were certainly wrong.","[([4], [], -1)]"
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","[([1], [], -1)]"
"rude service , medicore food ...there are tons of restaurants in ny...stay away from this one","[([1], [], -1), ([4], [], 0)]"
i had a grat time at jekyll and hyde !,"[([6, 7, 8], [], 1)]"
i loved everythig about it-especially the shows and actors .,"[([6], [], 1), ([8], [], 1)]"
our server was very helpful and friendly.,"[([1], [], 1)]"
the food was good too.,"[([1], [], 1)]"
the tuna and wasabe potatoes are excellent.,"[([1], [], 1), ([3, 4], [], 1)]"
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"[([1, 2], [], 1)]"
service was prompt and courteous.,"[([0], [], 1)]"
"great service , great food .","[([1], [], 1), ([4], [], 1)]"
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[([1], [], 1), ([7, 8], [], 1)]"
"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","[([3, 4], [], -1)]"
wait staff is blantently unappreciative of your business but its the best pie on the uws!,"[([0, 1], [], -1), ([12], [], 1)]"
by far the best salad i have had in a fast food restaurant.,"[([4], [], 1)]"
fine dining restaurant quality.,"[([1], [], 1)]"
"on a recent sunday afternoon, a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt.","[([13], [], 1)]"
"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","[([1, 2, 3], [], 1), ([7], [], 1), ([13], [], 1)]"
the staff is no nonsense.,"[([1], [], 1)]"
the food options rule.,"[([1], [], 1)]"
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,"[([12], [], 1)]"
worth visiting the 1st ave spot because it is the original store.,"[([3, 4, 5], [], 1)]"
"he served me an uni hand roll , which i never had before, and let me tell you...it was heaven!","[([4, 5, 6], [], 1)]"
the sake menu should not be overlooked!,"[([1, 2], [], 1)]"
try the lobster teriyaki and the rose special roll .,"[([2, 3], [], 1), ([6, 7, 8], [], 1)]"
"service was very good - prompt, attentive and non-intrusive.","[([0], [], 1)]"
"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","[([0], [], 1), ([17, 18], [], -1)]"
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[([0, 1, 2], [], 1), ([6], [], 1)]"
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"[([0, 1, 2], [], 1), ([7], [], -1)]"
"i've been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.","[([4, 5], [], 1)]"
"to sum it up: service varies from good to mediorce, depending on which waiter you get; generally it is just average ok.","[([4], [], 0)]"
"seating is always prompt, though the restaurant does fill up in the evening.","[([0], [], 1)]"
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders .","[([0], [], 1), ([12, 13, 14, 15, 16], [], -1)]"
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","[([1], [], 1), ([8, 9], [], 1)]"
i have never been disappointed in the red eye .,"[([7, 8], [], 1)]"
"the first time i went, and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad.","[([11, 12, 13], [], 1), ([15], [], 1)]"
it's simply the best meal in nyc.,"[([4], [], 1)]"
you cannot go wrong at the red eye grill .,"[([6, 7, 8], [], 1)]"
"if we were to move from the upper east side, we would genuinely miss this restaurant .","[([15], [], 1)]"
the restaurant is cute but not upscale.,"[([1], [], 0)]"
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,"[([1], [], 1), ([17, 18, 19, 20, 21], [], 1)]"
we had a great time at the jekyll and hyde pub last night.,"[([7, 8, 9, 10], [], 1)]"
after really enjoying ourselves at the bar we sat down at a table and had dinner.,"[([6], [], 1)]"
the server was really cool and served us our food and drinks with a smile.,"[([1], [], 1)]"
the place's decor and hidden bathrooms made for a good laugh.,"[([2], [], 1), ([4, 5], [], 1)]"
i highly recommend visiting this restaurant and having dinner and drinks!,"[([5], [], 1)]"
"if you are the type of person who likes being scared and entertained, this is a great place to go and eat.","[([17], [], 1)]"
"my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary, and to our surprise it was fantastic.","[([13, 14, 15, 16], [], 1)]"
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini .","[([5], [], 1), ([19], [], 1), ([32, 33], [], 1)]"
"please take my advice, go and try this place .","[([8], [], 1)]"
the bagel was huge.,"[([1], [], 1)]"
the workers there also absolutely load the bagel with cream cheese (gets a little messy).,"[([7], [], -1)]"
this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,"[([16], [], 1), ([19], [], 1)]"
i have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster .,"[([6, 7], [], 1), ([20], [], 1)]"
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .","[([3], [], 1), ([5, 6, 7, 8], [], 1), ([10, 11, 12], [], 1)]"
"i highly recommend cafe st. bart's for their food , the ambience and wonderful service .","[([8], [], 1), ([11], [], 1), ([14], [], 1)]"
all the staff is absolutely professional!!,"[([2], [], 1)]"
this restaurant was way overhyped.,"[([1], [], -1)]"
my chow fun and chow see was really bland and oily.,"[([1, 2, 3, 4, 5], [], -1)]"
the scallion pancakes and fried dumplings were nothing out of the ordinary.,"[([1, 2], [], 0), ([4, 5], [], 0)]"
the service was the only thing good about this restaurant .,"[([1], [], 1), ([9], [], -1)]"
"it's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","[([7], [], -1), ([13], [], -1), ([19], [], -1)]"
their pad penang is delicious and everything else is fantastic.,"[([1, 2], [], 1)]"
the price is reasonable although the service is poor.,"[([6], [], -1)]"
fresh restaurant was amazing........ food was delicious and of course fresh.,"[([0, 1], [], 1), ([4], [], 1)]"
hats off to the chef .,"[([4], [], 1)]"
"the salads are delicious, both refreshing and very spicy.","[([1], [], 1)]"
we had pam's special fried fish and it was amazing.,"[([2, 3, 4, 5], [], 1)]"
"great vibe , lots of people.","[([1], [], 1)]"
"i didn't complain, i liked the atmosphere so much.","[([6], [], 1)]"
"ambience is so cute and quaint, good for business although we were there on vacation.","[([0], [], 1)]"
salads were fantastic.,"[([0], [], 1)]"
although we were looking for regular lettuce and some walnuts the salads we got were great.,"[([11], [], 1)]"
ingredients are organic which is a real plus for me.,"[([0], [], 1)]"
"this is some really good, inexpensive sushi .","[([6], [], 1)]"
the spicy tuna roll is huge and probably the best that i've had at this price range.,"[([1, 2, 3], [], 1)]"
the yellowtail was particularly good as well.,"[([1], [], 1)]"
"i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","[([5, 6, 7, 8, 9], [], -1)]"
"in any event, this is a place i'll be sure to stop by again when i'm in this part of town.","[([6], [], 1)]"
big wong gets big ups for a fine establishment.,"[([0, 1], [], 1)]"
"they have it all -- great price, food , and service .","[([7], [], 1), ([10], [], 1)]"
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"[([1], [], -1), ([6], [], 1)]"
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $3-6 each).","[([10], [], 1), ([12], [], 1), ([15, 16], [], 1)]"
the takeout is great too since they give high quality tupperware as well.,"[([1], [], 1)]"
this place is always very crowded and popular.,"[([1], [], 1)]"
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ....both very tasty.,"[([4, 5], [], 1), ([10, 11, 12, 13], [], 1)]"
we both opted for a pasta dish and they were served timely and fresh.,"[([5, 6], [], 1)]"
"we concluded with tiramisu chocolate cake , both were delicious.","[([3], [], 1), ([4, 5], [], 1)]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[([5], [], 1)]"
"the staff was accomodating, the food was absolutely delicious and the place is lovely.","[([1], [], 1), ([5], [], 1), ([11], [], 1)]"
we even had a visit from the manager who wanted to make sure we were enjoying ourselves.,"[([7], [], 1)]"
sometimes i get good food and ok service .,"[([4], [], 1), ([7], [], 0)]"
"sometimes i get bad food and bad service , sometimes i get good good and bad service .","[([4], [], -1), ([7], [], -1), ([13], [], 1), ([16], [], -1)]"
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere .,"[([8], [], 1), ([10], [], 1), ([16], [], 1)]"
and where does patis go wrong; no where.,"[([3], [], 1)]"
and evaluated on those terms pastis is simply wonderful.,"[([5], [], 1)]"
right off the l in brooklyn this is a nice cozy place with good pizza .,"[([11], [], 1), ([14], [], 1)]"
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though).,"[([14], [], -1)]"
my friend got the mushroom pizza which tasted better.,"[([4, 5], [], 1)]"
the sangria was pretty tasty and good on a hot muggy day.,"[([1], [], 1)]"
kind of a small place but i guess if they are not too busy might be able to fit a group or kids.,"[([4], [], 0)]"
i started out with a bombay beer which was big enough for two.,"[([5, 6], [], 1)]"
"service was slow, but the people were friendly.","[([0], [], -1), ([5], [], 1)]"
it's a nice place to relax and have conversation.,"[([3], [], 1)]"
the food is authentic italian - delicious!,"[([1], [], 1)]"
"pizza is terrific, as is homemade pasta .","[([0], [], 1), ([5, 6], [], 1)]"
"ambience is delightful, service impeccable.","[([0], [], 1), ([3], [], 1)]"
i'm still mad that i had to pay for lousy food .,"[([10], [], -1)]"
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"[([1, 2], [], -1), ([8], [], -1)]"
service was also horrible and the ambience is not that great.,"[([0], [], -1), ([6], [], -1)]"
i go and eat out at many different restaurants and this is one place you have go and try.,"[([13], [], 1)]"
this is my first time writing a review for a restaurant because the food and service was excellent.,"[([13], [], 1), ([15], [], 1)]"
the filet mignon dish was superb!,"[([1, 2, 3], [], 1)]"
it's a small cute restaurant .,"[([4], [], 1)]"
i absolutely love this place !!!,"[([4], [], 1)]"
"i like the ambience , it's very dark and original.","[([3], [], 1)]"
the sushi is amazing!!!,"[([1], [], 1)]"
very affordable and excellent ambient !,"[([4], [], 1)]"
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai.,"[([3, 4, 5, 6, 7], [], -1)]"
we won't go to this place again for a good meal .,"[([10], [], -1)]"
"however, i think this place is a good hang out spot.","[([4], [], 1)]"
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[([8], [], 1)]"
the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area .,"[([1], [], 1), ([3], [], 1), ([6], [], 1), ([15, 16, 17], [], 1)]"
check this place out!,"[([2], [], 1)]"
"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.","[([4], [], -1)]"
"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.","[([1], [], -1), ([8], [], 0), ([17, 18], [], -1)]"
slightly above average wines start at $70+ with only one selection listed at $30+.,"[([3], [], -1)]"
service is not what one would expect from a joint in this price category.,"[([0], [], -1)]"
somehow working the italian charm with constant mille grazie does not constitute proper service .,"[([13], [], -1)]"
"to be completely fair, the only redeeming factor was the food , which was above average, but couldn't make up for all the other deficiencies of teodora .","[([10], [], 1), ([26], [], -1)]"
not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,"[([4], [], -1), ([13, 14, 15, 16], [], -1)]"
fish was overdone.,"[([0], [], -1)]"
"cute place , nice wait staff but would never go there again.","[([1], [], 1), ([4, 5], [], 1)]"
someone else recommended the dessert - we also left that.,"[([4], [], -1)]"
one of us actually liked the expresso - that's it.,"[([6], [], 1)]"
"skip this restaurant , it's a big disappointment.","[([2], [], -1)]"
myagi is one of my favorite restaurants in the city; the place the negative reviews describe sound like they were somewhere else.,"[([0], [], 1)]"
i've never had bad service and the fish is fresh and delicious.,"[([4], [], 1), ([7], [], 1)]"
their tuna tartar appetizer is to die for.,"[([1, 2, 3], [], 1)]"
"i come from a family of pizzeria owners, and i'm almost ashamed to say that the pizza in fornino's blows my families receipies away.","[([16], [], 1)]"
the place is so cool and the service is prompt and curtious.,"[([1], [], 1), ([7], [], 1)]"
i highly recommend to anyone to give this place a try.,"[([8], [], 1)]"
a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere .,"[([11], [], 1), ([14], [], 1), ([18], [], 1)]"
no gimmicks here -- the food speaks for itself in its freshness and preparation.,"[([5], [], 1)]"
the dining room is quietly elegant with no music to shout over -- how refreshing!,"[([1, 2], [], 1)]"
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[([1], [], 1), ([8], [], 1)]"
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen.","[([13], [], 1), ([17], [], 1)]"
the view is breathtaking the service is top notch... the ambiance is wonderfull.,"[([1], [], 1), ([5], [], 1), ([10], [], 1)]"
the staff offers impeccable service.,"[([1], [], 1)]"
i had lobster bisque it has 2 oz. of maine lobster in it.,"[([2, 3], [], 1)]"
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,"[([4, 5, 6], [], 1), ([19, 20], [], 1)]"
my boyfriend had prime rib it was good .,"[([3, 4], [], 1)]"
we didn't want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough.,"[([15, 16, 17], [], 1)]"
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,"[([18], [], 1)]"
if you like spicy food get the chicken vindaloo .,"[([7, 8], [], 1)]"
go to volare for 1st class service and terrific food .,"[([6], [], 1), ([9], [], 1)]"
the portions are large and the servers always surprise us with a different starter.,"[([1], [], 1), ([6], [], 1)]"
the wine list is excellent.,"[([1, 2], [], 1)]"
the food is amazing... especially if you get the chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines .,"[([1], [], 1), ([9, 10, 11], [], 1), ([23, 24, 25], [], 1)]"
"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","[([1], [], -1), ([15], [], 1)]"
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"[([1], [], -1), ([7, 8, 9, 10], [], 1)]"
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","[([5, 6], [], -1), ([20], [], 0)]"
the menu is very limited - i think we counted 4 or 5 entrees.,"[([1], [], -1)]"
"we ordered the special, grilled branzino , that was so infused with bone, it was difficult to eat.","[([4, 5], [], -1)]"
"the decor in this place is very diner-ish and the kind of place you expect in the east village - not romantic, just simple, small and sparse.","[([1], [], 0)]"
problem is nothing at prune is particularly memorable.,"[([4], [], -1)]"
this place is so much fun.,"[([1], [], 1)]"
our family never expected such incredible entertainment in a restaurant .,"[([9], [], 1)]"
our food was great too!,"[([1], [], 1)]"
and really large portions .,"[([3], [], 1)]"
the staff was the friendliest that have seen in new york.,"[([1], [], 1)]"
if you want something really different than try jekyll and hyde .,"[([8, 9, 10], [], 1)]"
the food was pretty tradional but it was hot and good with large portions .,"[([1], [], 1), ([13], [], 1)]"
the place is a lot of fun.,"[([1], [], 1)]"
the characters really make for an enjoyable experience.,"[([1], [], 1)]"
"the food however, is what one might expect.","[([1], [], -1)]"
"however, i think jeckll and hydes t is one of those places that is fun to do once.","[([3, 4, 5], [], 1)]"
service was slow had to wait to order and get food although not crowded.,"[([0], [], -1)]"
drinks way over priced.,"[([0], [], -1)]"
food was good not great not worth the wait or another visit,"[([0], [], 0)]"
great pizza for lunch place.,"[([1], [], 1)]"
service was quick.,"[([0], [], 1)]"
the pizza was great.,"[([1], [], 1)]"
have the iced tea .,"[([2, 3], [], 1)]"
"whenever you need a sushi fix, mizu will be there with quality fish and great service .","[([12], [], 1), ([15], [], 1)]"
delivery is fast too.,"[([0], [], 1)]"
"great friendly service , fast seating , fast delivery , excellent sushi .","[([2], [], 1), ([5], [], 1), ([8], [], 1), ([11], [], 1)]"
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[([11], [], 1)]"
"the bagels always warm, soft on the inside, crispy on the outside and enormous in size.","[([1], [], 1)]"
they have a huge selection of different cream cheeses and all of their salads are great.,"[([7, 8], [], 1), ([13], [], 1)]"
the lox is always fresh too.,"[([1], [], 1)]"
not impressed with the food .,"[([4], [], -1)]"
prices too high for this cramped and unappealing resturant .,"[([8], [], -1)]"
